+ .com.au
+ .net.au
+ .org.au
+ .com.ag
+ .net.ag
+ .org.ag
+ .com.br
+ .net.br
+ .com.bz
+ .net.bz
+ .com.co
+ .net.co
+ .nom.co
.com.es
.nom.es
.org.es
+ .co.in
+ .firm.in
+ .gen.in
+ .ind.in
+ .net.in
+ .org.in
+ .com.mx
.co.nz
.net.nz
.org.nz
+ .com.tw
+ .idv.tw
+ .org.tw
+ .co.uk
+ .me.uk
+ .org.uk
